0.0240416   0.0240416  0.784398
0.072173   0.0720768  0.784398
0.142954   0.142717  0.785398
0.213665   0.213427  0.785398
0.284376   0.284138  0.786398
0.355016   0.354919  0.786398
0.425656   0.425701  0.785398
0.496366   0.496411  0.785398
0.567077   0.567122  0.784398
0.637858   0.637762  0.784398
0.70864   0.708402  0.785398
0.77935   0.779113  0.785398
0.850061   0.849823  0.786398
0.920701   0.920605  0.786398
0.991341   0.991386  0.785398
1.06205   1.0621  0.785398
1.13276   1.13281  0.784398
1.20354   1.20345  0.784398
1.27432   1.27409  0.785398
1.34504   1.3448  0.785398
1.41575   1.41551  0.786398
1.48639   1.48629  0.792398
1.5566   1.55749  0.803398
1.62603   1.62947  0.817398
1.69239   1.70021  0.832398
1.75633   1.77047  0.852398
1.81886   1.84199  0.877398
1.88086   1.91659  0.907398
1.94244   1.99538  0.942398
2.00122   2.07628  0.976398
2.05722   2.15913  1.0114
2.11029   2.24389  1.0454
2.16045   2.3304  1.0804
2.20754   2.41861  1.1144
2.25161   2.50838  1.1474
2.2927   2.59955  1.1814
2.33066   2.69206  1.2144
2.36555   2.78578  1.2464
2.39743   2.88056  1.2774
2.42635   2.97629  1.3074
2.45239   3.07284  1.3344
2.47581   3.17006  1.3604
2.49669   3.26785  1.3854
2.51512   3.36614  1.4094
2.53119   3.46484  1.4324
2.54499   3.56388  1.4524
2.5568   3.66318  1.4714
2.56673   3.76269  1.4874
2.57506   3.86234  1.5024
2.58189   3.96211  1.5144
2.58753   4.06195  1.5254
2.59206   4.16185  1.5334
2.5958   4.26178  1.5404
2.59884   4.36173  1.5444
2.60148   4.4617  1.5454
2.60402   4.56166  1.5454
2.60656   4.66163  1.5424
2.6094   4.76159  1.5364
2.61284   4.86153  1.5274
2.61718   4.96144  1.5174
2.62252   5.0613  1.5044
2.62915   5.16108  1.4884
2.63738   5.26074  1.4694
2.6475   5.36022  1.4474
2.65981   5.45946  1.4224
2.6746   5.55836  1.3944
2.69215   5.65681  1.3634
2.71274   5.75467  1.3314
2.73645   5.85182  1.3004
2.76316   5.94818  1.2704
2.79275   6.0437  1.2414
2.8251   6.13833  1.2114
2.86027   6.23194  1.1824
2.89814   6.32449  1.1544
2.93859   6.41595  1.1274
2.98149   6.50628  1.1014
3.02672   6.59546  1.0764
3.07417   6.68349  1.0524
3.12372   6.77035  1.0274
3.17543   6.85594  1.0034
3.22917   6.94027  0.980398
3.28484   7.02334  0.958398
3.34232   7.10517  0.935398
3.40167   7.18566  0.913398
3.46278   7.26481  0.892398
3.52553   7.34267  0.872398
3.58983   7.41926  0.851398
3.65573   7.49448  0.831398
3.72311   7.56837  0.812398
3.79189   7.64096  0.794398
3.86196   7.7123  0.775398
3.93337   7.78231  0.757398
4.00603   7.85101  0.740398
4.07985   7.91847  0.724398
4.15474   7.98474  0.707398
4.23075   8.04972  0.691398
4.30779   8.11348  0.676398
4.38577   8.17608  0.660398
4.46474   8.23742  0.645398
4.54463   8.29758  0.631398
4.62535   8.3566  0.616398
4.70695   8.41441  0.602398
4.78934   8.47108  0.587398
4.87258   8.5265  0.573398
4.95659   8.58074  0.560398
5.04129   8.6339  0.546398
5.12673   8.68586  0.533398
5.21284   8.7367  0.521398
5.29955   8.78651  0.508398
5.38691   8.83519  0.496398
5.47484   8.88282  0.483398
5.56338   8.9293  0.471398
5.65247   8.97471  0.460398
5.74206   9.01914  0.448398
5.83218   9.06249  0.437398
5.92276   9.10485  0.425398
6.01385   9.14612  0.414398
6.10538   9.18638  0.404398
6.19732   9.22573  0.393398
6.28968   9.26406  0.383398
6.38242   9.30147  0.372398
6.47556   9.33785  0.362398
6.56907   9.37331  0.351398
6.66296   9.40773  0.341398
6.75719   9.44121  0.330398
6.85178   9.47365  0.320398
6.94669   9.50514  0.311398
7.04188   9.53578  0.301398
7.13737   9.56547  0.296398
7.23301   9.59468  0.296398
7.32865   9.62388  0.301398
7.42414   9.65357  0.309398
7.5194   9.68402  0.318398
7.61437   9.71532  0.326398
7.70909   9.74739  0.335398
7.80352   9.7803  0.343398
7.89768   9.81397  0.350398
7.9916   9.8483  0.354398
8.08539   9.883  0.357398
8.17907   9.91798  0.357398
8.27275   9.95297  0.352398
8.36661   9.98748  0.344398
8.46073   10.0212  0.331398
8.55529   10.0538  0.313398
8.65042   10.0846  0.292398
8.74618   10.1134  0.272398
8.84249   10.1403  0.253398
8.9393   10.1654  0.235398
9.03654   10.1887  0.216398
9.13421   10.2102  0.198398
9.23224   10.2299  0.181398
9.3306   10.248  0.165398
9.42924   10.2644  0.150398
9.52811   10.2794  0.136398
9.62718   10.293  0.121398
9.6927   10.301  0.105398
9.79214   10.3115  0.0923982
9.89171   10.3207  0.0803982
9.99139   10.3288  0.0693982
